status_id;status_message;link_name;status_type;status_link;date_published;hour_published;num_reactions;num_comments;num_shares;num_likes;num_loves;num_wows;num_hahas;num_sads;num_angrys;num_special
604876072984693_920342308104733;Cansado de ver o devedor gastando por aí e sem te procurar para negociar a dívida? Proteste!;Pretinho Básico;link;http://atl.clicrbs.com.br/pretinhobasico/2017/08/03/5-reacoes-que-voce-tem-quando-alguem-esta-te-devendo-dinheiro-mas-esta-torrando-tudo/;2017-08-03;10:10:59;4;0;0;4;0;0;0;0;0;0
604876072984693_918867368252227;"De um lado o credor que precisa receber a dívida; do outro o devedor que quer evitar a restrição de crédito. Como resolver? O protesto é a solução!";102.3 FM - A Rádio Light de Porto Alegre;video;https://www.facebook.com/itapemafmrs/videos/10155013679965756/;2017-07-31;13:31:34;9;0;0;8;1;0;0;0;0;0
604876072984693_916692715136359;Tarde de treinamento do protesto online para a equipe do Conselho Regional dos Representantes Comerciais (CORE-RS). O convênio, treinamento e suporte para os órgãos públicos utilizarem a Central de Remessa de Arquivos (CRA) são totalmente gratuitos.;;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/916692501803047/?type=3;2017-07-27;14:11:08;16;0;3;16;0;0;0;0;0;0
604876072984693_915854308553533;Mediar a relação de credores e devedores em busca da melhor solução para todos os envolvidos. Essa é a missão do protesto:;Minuto do Protesto - Douglas e Raul;video;https://www.facebook.com/protestors/videos/915854308553533/;2017-07-26;09:33:00;18;0;9;18;0;0;0;0;0;0
604876072984693_914891488649815;Cartórios de Protesto na mídia: o aumento do protesto online é destacado pela jornalista Giane Guerra no site da Rádio Gaúcha.;Giane Guerra;link;http://gaucha.clicrbs.com.br/rs/noticia-aberta/giane-guerra-quase-14-milhao-de-dividas-sao-encaminhadas-para-protesto-no-rs-202134.html;2017-07-24;12:25:03;13;0;0;13;0;0;0;0;0;0
604876072984693_914754631996834;Novo totem da Consulta Nacional de Protesto (CNP) passando pelos últimos ajustes. Em breve mais Cartórios irão disponibilizar para a população o terminal para consulta gratuita de CPF e CNPJ.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/914754631996834/?type=3;2017-07-24;09:39:00;15;0;4;15;0;0;0;0;0;0
604876072984693_912716312200666;Para a terceira edição, o Protesto em Foco pegou a estrada. Em Maquiné e Progresso registramos o início do serviço de protesto nos municípios. Já em Antônio Prado mostramos a participação do Cartório Uberti no Dia da Cidadania. #ProtestoEmFoco;Protesto em Foco - 3ª edição;video;https://www.facebook.com/protestors/videos/912716312200666/;2017-07-21;09:30:07;88;3;21;86;2;0;0;0;0;0
604876072984693_912012095604421;Precisando fazer o devedor se coçar pra pagar aquela dívida? Chegou a hora de protestar!;102.3 FM - A Rádio Light de Porto Alegre;video;https://www.facebook.com/itapemafmrs/videos/10154977932590756/;2017-07-19;08:18:46;11;0;0;11;0;0;0;0;0;0
604876072984693_907087986096832;A cidade mais italiana do Brasil é a segunda parada do Meu Cartório. Antônio Prado ficou conhecida nacionalmente por ser cenário do filme O Quatrilho, indicado ao Oscar em 1996. No município da Serra Gaúcha, a atuação do tabelião Marco Antônio Uberti Gonçalves extrapola a estrutura do cartório e contribui em diversas áreas para o desenvolvimento da comunidade. Nós contamos um pouco desta história:;Meu Cartório - Antônio Prado;video;https://www.facebook.com/protestors/videos/907087986096832/;2017-07-13;08:37:02;451;38;306;428;21;1;1;0;0;0
604876072984693_908146522657645;Minha reação quando acesso a Central de Remessa de Arquivos (CRA) e vejo que as dívidas foram pagas. Descubra você também o protesto online. Saiba mais em www.protestors.com.br.;media.giphy.com;link;https://media.giphy.com/media/fDzM81OYrNjJC/giphy.gif;2017-07-12;12:09:39;22;0;1;20;1;0;1;0;0;0
604876072984693_906909292781368;Os Cartórios são essenciais na vida de todos os cidadãos e a Marcela, tabeliã designada de Nova Roma do Sul, explica um pouco as facilidades oferecidas pelo protesto:;Minuto do Protesto - Marcela Pasuch;video;https://www.facebook.com/protestors/videos/906909292781368/;2017-07-10;09:15:05;48;1;7;48;0;0;0;0;0;0
604876072984693_904502513022046;Com a divulgação na mídia desde o início do ano, os Cartórios de Protesto estabeleceram algumas parcerias. Entre elas está o jornalista Luciano Potter, da Rádio Gaúcha e da Rede Atlântida. Em entrevista para a Revista Protesto, o comunicador tratou sobre a tecnologia e a importância de estarmos atentos aos avanços para acompanhar o mundo atual.;Entrevista: Mudar para evoluir - Luciano Potter;link;http://www.protestors.com.br/noticias/entrevista-mudar-para-evoluir-luciano-potter;2017-07-07;07:54:24;13;1;1;13;0;0;0;0;0;0
